title,rating,clusters
Pie in the Sky (1996),2.0,4
Jade (1995),2.833333333333333,3
Down Periscope (1996),2.9516129032258065,4
Man of the Year (1995),3.0,2
Up Close and Personal (1996),3.5,3
"Birdcage, The (1996)",3.494186046511628,4
"Brothers McMullen, The (1995)",3.333333333333333,4
Bad Boys (1995),3.2450980392156863,1
"Amazing Panda Adventure, The (1995)",3.333333333333333,2
"Basketball Diaries, The (1995)",3.466666666666667,3
"Awfully Big Adventure, An (1995)",5.0,3
Amateur (1994),2.0,0
Apollo 13 (1995),3.845771144278607,2
Rob Roy (1995),3.5454545454545454,0
"Addiction, The (1995)",1.5,3
Batman Forever (1995),2.916058394160584,1
Beauty of the Day (Belle de jour) (1967),3.875,3
Beyond Rangoon (1995),2.4166666666666665,2
Blue in the Face (1995),3.333333333333333,0
Canadian Bacon (1995),2.863636363636364,4
Casper (1995),2.806451612903226,2
Clockers (1995),2.8928571428571432,0
Congo (1995),2.8771929824561404,1
Crimson Tide (1995),3.6359223300970873,3
Crumb (1994),4.205882352941177,3
Desperado (1995),3.560606060606061,1
Devil in a Blue Dress (1995),3.321428571428572,0
Die Hard: With a Vengeance (1995),3.555555555555556,5
"Doom Generation, The (1995)",2.833333333333333,0
First Knight (1995),3.083333333333333,0
Free Willy 2: The Adventure Home (1995),2.4,2
Hackers (1995),3.2285714285714286,1
Jeffrey (1995),3.8333333333333335,0
Johnny Mnemonic (1995),2.679245283018868,5
Judge Dredd (1995),2.669354838709677,1
Jury Duty (1995),2.7,4
Kids (1995),3.975,3
Living in Oblivion (1995),4.307692307692308,4
Lord of Illusions (1995),2.75,3
Love & Human Remains (1993),1.0,0
Mad Love (1995),1.5,3
Mallrats (1995),3.4027777777777777,4
Mighty Morphin Power Rangers: The Movie (1995),2.264705882352941,1
Mute Witness (1994),3.5,0
Nadja (1994),3.5,3
"Net, The (1995)",3.040178571428572,5
Nine Months (1995),2.8229166666666665,4
Party Girl (1995),4.125,4
"Prophecy, The (1995)",3.458333333333333,0
Reckless (1995),3.0,2
Safe (1995),2.8,3
"Scarlet Letter, The (1995)",2.4166666666666665,3
Showgirls (1995),2.4714285714285715,3
Smoke (1995),3.6666666666666665,0
Something to Talk About (1995),3.1,0
Species (1995),2.6666666666666665,1
Strange Days (1995),3.25,1
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4.125,0
Three Wishes (1995),3.0,2
Total Eclipse (1995),3.0,2
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.4318181818181817,4
Under Siege 2: Dark Territory (1995),2.716666666666667,1
Unstrung Heroes (1995),3.1666666666666665,0
Unzipped (1995),3.0,2
"Walk in the Clouds, A (1995)",3.4285714285714284,3
Waterworld (1995),2.9130434782608696,1
White Man's Burden (1995),3.1666666666666665,3
Wild Bill (1995),3.0,2
"Browning Version, The (1994)",3.5,3
Bushwhacked (1995),3.0,2
Burnt by the Sun (Utomlyonnye solntsem) (1994),3.8333333333333335,3
Before the Rain (Pred dozhdot) (1994),4.0,3
Before Sunrise (1995),4.041666666666667,3
Billy Madison (1995),3.326530612244898,4
"Babysitter, The (1995)",2.333333333333333,3
Boys on the Side (1995),3.4285714285714284,0
"Cure, The (1995)",3.0,3
Castle Freak (1995),3.0,2
Circle of Friends (1995),3.75,3
Clerks (1994),3.8557692307692313,4
Don Juan DeMarco (1995),3.6125,0
Disclosure (1994),3.5384615384615383,3
Drop Zone (1994),2.863636363636364,1
Destiny Turns on the Radio (1995),2.333333333333333,4
Death and the Maiden (1994),3.4285714285714284,3
Dolores Claiborne (1995),3.395833333333333,3
Dumb & Dumber (Dumb and Dumber) (1994),3.0601503759398496,1
Eat Drink Man Woman (Yin shi nan nu) (1994),3.8928571428571432,0
Exotica (1994),3.5,3
Exit to Eden (1994),2.588235294117647,4
Ed Wood (1994),3.678571428571429,0
French Kiss (1995),3.4777777777777783,1
Forget Paris (1995),3.3409090909090913,4
Far From Home: The Adventures of Yellow Dog (1995),4.0,2
"Goofy Movie, A (1995)",3.0,2
Hideaway (1995),2.375,3
Fluke (1995),4.0,2
Farinelli: il castrato (1994),3.6,3
Gordy (1995),3.0,1
Hoop Dreams (1994),4.293103448275862,3
Heavenly Creatures (1994),3.928571428571429,2
Houseguest (1994),3.1764705882352944,4
Immortal Beloved (1994),3.7222222222222223,3
Heavyweights (Heavy Weights) (1995),2.5,1
"Hunted, The (1995)",3.0,1
I.Q. (1994),3.453488372093023,4
Interview with the Vampire: The Vampire Chronicles (1994),3.458715596330275,3
Jefferson in Paris (1995),3.0,3
"Jerky Boys, The (1995)",2.071428571428572,4
Junior (1994),2.8285714285714287,4
Just Cause (1995),3.5,0
"Kid in King Arthur's Court, A (1995)",2.6,2
Kiss of Death (1995),3.2,0
Star Wars: Episode IV - A New Hope (1977),4.231075697211154,1
Little Women (1994),3.8809523809523814,3
"Little Princess, A (1995)",3.9047619047619047,2
Ladybird Ladybird (1994),4.0,3
Like Water for Chocolate (Como agua para chocolate) (1992),3.939393939393939,0
Legends of the Fall (1994),3.397058823529412,3
Major Payne (1995),2.9411764705882355,4
My Crazy Life (Mi vida loca) (1993),3.0,3
Love Affair (1994),3.4,3
Losing Isaiah (1995),3.5,3
"Madness of King George, The (1994)",3.758064516129033,0
Mary Shelley's Frankenstein (Frankenstein) (1994),2.946428571428572,3
Man of the House (1995),2.9285714285714284,4
Mixed Nuts (1994),2.0,4
Milk Money (1994),3.25,4
Miracle on 34th Street (1994),3.2236842105263164,3
Miami Rhapsody (1995),1.5,4
My Family (1995),3.0,3
Murder in the First (1995),4.076923076923077,3
Nobody's Fool (1994),3.7857142857142856,0
Nell (1994),3.3375,3
New Jersey Drive (1995),3.6666666666666665,2
Beyond Bedlam (1993),4.0,3
Nina Takes a Lover (1994),3.0,2
Natural Born Killers (1994),3.233695652173913,5
Only You (1994),3.5625,4
Once Were Warriors (1994),4.035714285714286,2
Poison Ivy II (1996),2.333333333333333,3
Outbreak (1995),3.4257425742574257,0
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.018796992481203,1
"Perez Family, The (1995)",3.0,2
"Pyromaniac's Love Story, A (1995)",3.0,2
Pulp Fiction (1994),4.197068403908795,0
Pushing Hands (Tui shou) (1992),2.0,3
Priest (1994),4.0,3
Quiz Show (1994),3.5185185185185186,3
Picture Bride (Bijo photo) (1994),4.0,3
"Queen Margot (Reine Margot, La) (1994)",3.2,3
"Quick and the Dead, The (1995)",2.953125,1
Roommates (1995),3.6666666666666665,0
Ready to Wear (Pret-A-Porter) (1994),2.833333333333333,4
Three Colors: Red (Trois couleurs: Rouge) (1994),4.21875,3
Three Colors: Blue (Trois couleurs: Bleu) (1993),3.8958333333333335,3
Three Colors: White (Trzy kolory: Bialy) (1994),4.025,0
Rent-a-Kid (1995),3.0,4
Relative Fear (1994),3.0,2
Stuart Saves His Family (1995),1.4444444444444444,4
"Swan Princess, The (1994)",3.333333333333333,1
"Secret of Roan Inish, The (1994)",3.75,0
"Specialist, The (1994)",3.0789473684210527,5
Stargate (1994),3.375,1
"Santa Clause, The (1994)",3.203703703703704,0
"Shawshank Redemption, The (1994)",4.4290220820189266,2
Shallow Grave (1994),3.6,0
Suture (1993),3.0,2
Strawberry and Chocolate (Fresa y chocolate) (1993),4.0,3
Swimming with Sharks (1995),3.55,0
"Sum of Us, The (1994)",4.0,4
National Lampoon's Senior Trip (1995),2.5,4
To Live (Huozhe) (1994),4.0,3
Tank Girl (1995),2.8235294117647056,1
Tales from the Crypt Presents: Demon Knight (1995),3.15,1
Star Trek: Generations (1994),3.3935185185185186,2
Tales from the Hood (1995),3.0,1
Tom & Viv (1994),3.0,3
Village of the Damned (1995),2.833333333333333,1
Tommy Boy (1995),3.78,4
Vanya on 42nd Street (1994),4.2,3
Underneath (1995),3.5,0
"Walking Dead, The (1995)",3.0,2
What's Eating Gilbert Grape (1993),3.7662337662337664,3
Virtuosity (1995),2.8421052631578947,5
While You Were Sleeping (1995),3.4693877551020407,4
"War, The (1994)",3.4,2
Double Happiness (1994),4.0,3
Muriel's Wedding (1994),3.272727272727273,4
"Baby-Sitters Club, The (1995)",2.9,3
Ace Ventura: Pet Detective (1994),3.040372670807453,4
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5972222222222223,0
Backbeat (1993),3.5,3
Bitter Moon (1992),3.5,0
Bullets Over Broadway (1994),3.583333333333333,4
Clear and Present Danger (1994),3.6045454545454554,1
"Client, The (1994)",3.3859649122807016,3
"Corrina, Corrina (1994)",3.1764705882352944,0
Crooklyn (1994),2.5,0
"Crow, The (1994)",3.609375,1
Cobb (1994),3.333333333333333,3
"Flintstones, The (1994)",2.357142857142857,1
Forrest Gump (1994),4.164133738601824,0
Four Weddings and a Funeral (1994),3.5194174757281558,4
Higher Learning (1995),2.6666666666666665,3
I Like It Like That (1994),3.0,0
I Love Trouble (1994),2.6875,1
It Could Happen to You (1994),3.0588235294117645,0
"Jungle Book, The (1994)",3.5294117647058822,0
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",4.0,3
"Lion King, The (1994)",3.9418604651162785,2
Little Buddha (1993),3.25,3
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",2.9166666666666665,3
"Mask, The (1994)",3.1847133757961785,1
Maverick (1994),3.5,0
Mrs. Parker and the Vicious Circle (1994),4.0,3
Naked Gun 33 1/3: The Final Insult (1994),3.060344827586207,1
"Paper, The (1994)",3.3095238095238093,0
Reality Bites (1994),2.761904761904762,0
Red Rock West (1992),3.636363636363636,3
Richie Rich (1994),2.2,1
"River Wild, The (1994)",3.25,1
Speed (1994),3.5292397660818717,5
Speechless (1994),2.7857142857142856,4
Timecop (1994),2.5,5
True Lies (1994),3.497191011235955,1
When a Man Loves a Woman (1994),3.8181818181818175,3
Wolf (1994),3.15625,0
Wyatt Earp (1994),3.095238095238096,3
Bad Company (1995),3.25,1
"Man of No Importance, A (1994)",4.0,3
S.F.W. (1994),3.0,3
"Low Down Dirty Shame, A (1994)",2.375,1
Boys Life (1995),3.0,3
"Colonel Chabert, Le (1994)",4.5,3
Faster Pussycat! Kill! Kill! (1965),3.7,1
Jason's Lyric (1994),4.5,2
Street Fighter (1994),2.5,1
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),2.4166666666666665,1
Federal Hill (1994),3.0,3
In the Mouth of Madness (1995),3.4375,1
8 Seconds (1994),3.0,3
Above the Rim (1994),2.0,2
Addams Family Values (1993),3.1011904761904763,1
"Age of Innocence, The (1993)",3.5,3
Airheads (1994),2.7884615384615383,4
"Air Up There, The (1994)",2.333333333333333,4
Another Stakeout (1993),2.53125,4
Bad Girls (1994),2.5,1
Barcelona (1994),3.692307692307693,4
Being Human (1993),3.0,3
"Beverly Hillbillies, The (1993)",2.675,4
Beverly Hills Cop III (1994),2.7203389830508478,1
Black Beauty (1994),3.208333333333333,2
Blink (1994),3.2,3
Blown Away (1994),2.85,1
Blue Chips (1994),1.8333333333333333,3
Blue Sky (1994),3.75,3
Body Snatchers (1993),3.1428571428571432,5
Boxing Helena (1993),2.5416666666666665,0
"Bronx Tale, A (1993)",3.7222222222222223,3
Cabin Boy (1994),2.0,4
Calendar Girl (1993),3.75,0
Carlito's Way (1993),3.738095238095238,2
City Slickers II: The Legend of Curly's Gold (1994),2.645454545454545,1
Clean Slate (1994),2.75,4
Cliffhanger (1993),3.0346534653465347,5
Coneheads (1993),2.4206349206349205,4
Color of Night (1994),2.571428571428572,3
Cops and Robbersons (1994),2.1666666666666665,4
"Cowboy Way, The (1994)",2.7142857142857144,1
Dave (1993),3.546052631578948,4
Dazed and Confused (1993),3.928571428571429,4
Demolition Man (1993),3.092592592592593,1
Even Cowgirls Get the Blues (1993),2.333333333333333,4
Fatal Instinct (1993),3.0,4
Farewell My Concubine (Ba wang bie ji) (1993),3.8333333333333335,3
Fearless (1993),3.625,3
Fear of a Black Hat (1994),1.0,4
With Honors (1994),3.0,2
Flesh and Bone (1993),4.0,3
Widows' Peak (1994),3.0,3
For Love or Money (1993),2.8,4
"Firm, The (1993)",3.5346534653465347,3
Free Willy (1993),2.391891891891892,2
Fresh (1994),3.75,0
"Fugitive, The (1993)",3.992105263157895,3
Geronimo: An American Legend (1993),2.8,3
"Getaway, The (1994)",2.25,1
Getting Even with Dad (1994),2.6666666666666665,4
Go Fish (1994),2.75,3
Hard Target (1993),2.9,1
Hot Shots! Part Deux (1993),2.8666666666666667,1
Live Nude Girls (1995),5.0,4
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3.2045454545454546,4
"House of the Spirits, The (1993)",3.4,3
House Party 3 (1994),1.0,4
"Hudsucker Proxy, The (1994)",3.55,4
I'll Do Anything (1994),2.583333333333333,0
In the Army Now (1994),1.8571428571428568,4
In the Line of Fire (1993),3.6928571428571435,1
In the Name of the Father (1993),4.3,3
"Inkwell, The (1994)",1.0,0
What's Love Got to Do with It? (1993),3.3823529411764706,3
Jimmy Hollywood (1994),2.5,0
Judgment Night (1993),2.25,5
Jurassic Park (1993),3.75,1
Kalifornia (1993),3.1578947368421053,3
Killing Zoe (1994),3.625,0
Lassie (1994),3.0,2
Last Action Hero (1993),2.9339622641509435,1
Life with Mikey (1993),3.0,4
Lightning Jack (1994),2.5,1
M. Butterfly (1993),3.0,2
Made in America (1993),2.863636363636364,4
Malice (1993),3.0,2
"Man Without a Face, The (1993)",3.294117647058824,3
Manhattan Murder Mystery (1993),3.75,4
Menace II Society (1993),3.6666666666666665,1
Executive Decision (1996),3.3780487804878048,5
In the Realm of the Senses (Ai no corrida) (1976),5.0,3
What Happened Was... (1994),5.0,0
Much Ado About Nothing (1993),3.8139534883720936,4
Mr. Wonderful (1993),2.5,1
Mrs. Doubtfire (1993),3.388888888888889,0
Naked (1993),3.6666666666666665,3
"Next Karate Kid, The (1994)",2.3666666666666667,0
No Escape (1994),3.0,2
North (1994),2.2142857142857144,4
Orlando (1992),4.5,0
"Perfect World, A (1993)",3.3846153846153846,0
Philadelphia (1993),3.613636363636364,3
"Piano, The (1993)",3.540983606557377,3
Poetic Justice (1993),3.0,3
"Program, The (1993)",3.0,2
"Puppet Masters, The (1994)",3.0,2
Radioland Murders (1994),3.375,0
"Ref, The (1994)",3.4166666666666665,4
"Remains of the Day, The (1993)",3.6041666666666665,3
Renaissance Man (1994),3.055555555555556,0
Rising Sun (1993),3.2777777777777777,0
"Road to Wellville, The (1994)",2.375,4
RoboCop 3 (1993),2.4047619047619047,1
Robin Hood: Men in Tights (1993),3.1304347826086962,4
Romeo Is Bleeding (1993),3.1666666666666665,1
Romper Stomper (1992),3.2857142857142856,1
Ruby in Paradise (1993),3.5,3
Rudy (1993),3.4852941176470584,3
"Savage Nights (Nuits fauves, Les) (1992)",4.0,3
Schindler's List (1993),4.225,3
"Scout, The (1994)",2.333333333333333,0
Searching for Bobby Fischer (1993),3.875,3
"Secret Garden, The (1993)",3.25,2
Serial Mom (1994),3.0,0
"Shadow, The (1994)",2.888888888888889,1
Shadowlands (1993),3.6071428571428568,3
Short Cuts (1993),3.2666666666666666,3
"Simple Twist of Fate, A (1994)",3.333333333333333,3
Sirens (1994),3.1666666666666665,3
Six Degrees of Separation (1993),3.583333333333333,3
Sleepless in Seattle (1993),3.4716981132075477,0
Sliver (1993),2.6666666666666665,3
Blade Runner (1982),4.100806451612904,5
Son in Law (1993),2.7857142857142856,0
So I Married an Axe Murderer (1993),3.317073170731707,0
Striking Distance (1993),2.4375,1
Super Mario Bros. (1993),2.0,1
Surviving the Game (1994),3.25,5
Terminal Velocity (1994),2.75,5
Thirty-Two Short Films About Glenn Gould (1993),4.5,3
Threesome (1994),3.4,4
"Nightmare Before Christmas, The (1993)",3.553763440860215,0
"Three Musketeers, The (1993)",3.262295081967213,1
Tombstone (1993),3.815384615384616,0
True Romance (1993),3.8,1
"War Room, The (1993)",3.333333333333333,3
"Pagemaster, The (1994)",2.9375,1
Welcome to the Dollhouse (1995),3.5434782608695654,0
Germinal (1993),4.0,3
Chasers (1994),1.5,4
Kika (1993),2.0,0
Bhaji on the Beach (1993),3.5,0
Little Big League (1994),2.6666666666666665,0
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",3.5,3
Spanking the Monkey (1994),3.25,0
"Little Rascals, The (1994)",2.65625,1
Andre (1994),2.125,2
Princess Caraboo (1994),2.8,3
"Celluloid Closet, The (1995)",4.0,3
Dear Diary (Caro Diario) (1994),4.0,4
"Brady Bunch Movie, The (1995)",2.736111111111111,4
Home Alone (1990),2.9956896551724137,1
Ghost (1990),3.4347826086956523,0
Aladdin (1992),3.792349726775957,2
Terminator 2: Judgment Day (1991),3.9709821428571432,1
Dances with Wolves (1990),3.8353658536585367,2
Batman (1989),3.4285714285714284,5
"Silence of the Lambs, The (1991)",4.161290322580645,5
Snow White and the Seven Dwarfs (1937),3.616883116883117,0
Beauty and the Beast (1991),3.7705479452054793,0
Pinocchio (1940),3.45,0
Pretty Woman (1990),3.4851851851851854,4
"Wild Bunch, The (1969)",3.8181818181818175,2
Love and a .45 (1994),4.0,1
"Great Day in Harlem, A (1994)",4.0,3
One Fine Day (1996),3.0,2
Candyman: Farewell to the Flesh (1995),3.0,2
Fargo (1996),4.116022099447513,0
Homeward Bound II: Lost in San Francisco (1996),3.571428571428572,2
Heavy Metal (1981),3.5454545454545454,1
Hellraiser: Bloodline (1996),2.4166666666666665,1
"Pallbearer, The (1996)",2.5,4
Jane Eyre (1996),3.1875,3
Bread and Chocolate (Pane e cioccolata) (1973),3.0,2
"Aristocats, The (1970)",3.411111111111111,1
"Flower of My Secret, The (La flor de mi secreto) (1995)",2.833333333333333,0
Two Much (1995),3.0,2
Ed (1996),2.6,4
"Thin Line Between Love and Hate, A (1996)",5.0,4
"Last Supper, The (1995)",3.333333333333333,3
Primal Fear (1996),3.6428571428571432,0
All Dogs Go to Heaven 2 (1996),3.1818181818181817,2
Land and Freedom (Tierra y libertad) (1995),4.0,3
Denise Calls Up (1995),5.0,4
Theodore Rex (1995),2.25,4
"Family Thing, A (1996)",3.0,2
Sgt. Bilko (1996),3.0454545454545454,4
Jack and Sarah (1995),3.0,2
Girl 6 (1996),3.0,2
Diabolique (1996),2.6818181818181817,3
Nelly & Monsieur Arnaud (1995),3.5,3
Courage Under Fire (1996),3.327586206896552,1
Mission: Impossible (1996),3.537037037037037,1
Cold Fever (Á köldum klaka) (1995),3.0,2
Moll Flanders (1996),3.0,3
Dragonheart (1996),3.0923076923076924,1
Eddie (1996),3.0,4
James and the Giant Peach (1996),3.4489795918367347,2
Fear (1996),3.2857142857142856,3
Kids in the Hall: Brain Candy (1996),3.2916666666666665,4
Underground (1995),4.333333333333333,0
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),2.8125,1
Song of the Little Road (Pather Panchali) (1955),4.25,3
"World of Apu, The (Apur Sansar) (1959)",4.75,3
Mystery Science Theater 3000: The Movie (1996),3.486111111111111,4
Space Jam (1996),2.707547169811321,2
Barbarella (1968),3.1666666666666665,1
Some Folks Call It a Sling Blade (1993),3.8333333333333335,3
"Run of the Country, The (1995)",4.0,3
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",4.125,0
It's My Party (1996),4.0,3
Operation Dumbo Drop (1995),2.333333333333333,1
Mrs. Winterbourne (1996),3.333333333333333,4
Solo (1996),2.0,5
"Substitute, The (1996)",2.9545454545454546,1
True Crime (1996),4.0,3
Feeling Minnesota (1996),2.7,3
Delta of Venus (1995),1.0,3
Angus (1995),3.2142857142857144,4
Boys (1996),2.0,3
"Quest, The (1996)",2.571428571428572,1
Sunset Park (1996),3.0,3
Mulholland Falls (1996),2.8809523809523814,0
"Truth About Cats & Dogs, The (1996)",3.3879310344827585,4
Oliver & Company (1988),3.0909090909090913,2
Celtic Pride (1996),2.5625,4
Flipper (1996),3.05,2
Dead Man (1995),3.966666666666667,3
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3.6666666666666665,3
"Visitors, The (Visiteurs, Les) (1993)",4.125,0
Multiplicity (1996),2.8428571428571434,4
Wallace & Gromit: The Best of Aardman Animation (1996),4.0925925925925934,2
"Haunted World of Edward D. Wood Jr., The (1996)",4.0,3
"Craft, The (1996)",3.032258064516129,3
"Great White Hype, The (1996)",2.5,4
Last Dance (1996),3.0,3
Cold Comfort Farm (1995),3.5,4
Heaven's Prisoners (1996),3.333333333333333,1
"Rock, The (1996)",3.6404958677685952,5
Cemetery Man (Dellamorte Dellamore) (1994),3.928571428571429,3
Twister (1996),3.3211382113821135,0
Barb Wire (1996),2.65,1
Ghost in the Shell (Kôkaku kidôtai) (1995),4.148148148148148,1
Thinner (1996),2.8181818181818183,1
Spy Hard (1996),2.5172413793103448,4
Wallace & Gromit: A Close Shave (1995),3.8958333333333335,0
"Stupids, The (1996)",3.333333333333333,4
"Arrival, The (1996)",3.113636363636364,5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,4
Ashes of Time (Dung che sai duk) (1994),4.0,3
Maya Lin: A Strong Clear Vision (1994),3.5,3
Stalingrad (1993),4.25,3
"Phantom, The (1996)",2.7894736842105257,1
Striptease (1996),2.414634146341464,4
Heavy (1995),3.5,3
Jack (1996),3.1578947368421053,0
I Shot Andy Warhol (1996),3.5,3
Spirits of the Dead (1968),3.0,2
Trainspotting (1996),4.03921568627451,0
'Til There Was You (1997),4.0,3
Independence Day (a.k.a. ID4) (1996),3.445544554455445,1
Stealing Beauty (1996),3.5,3
"Fan, The (1996)",3.0,2
"Hunchback of Notre Dame, The (1996)",3.3297872340425534,0
"Cable Guy, The (1996)",2.805555555555556,4
Kingpin (1996),3.3690476190476186,4
Eraser (1996),3.109375,5
"Nutty Professor, The (1996)",2.731707317073171,0
"Unforgettable Summer, An (Un été inoubliable) (1994)",2.0,3
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",4.0,3
Somebody to Love (1994),3.5,3
Daylight (1996),2.708333333333333,1
"Frighteners, The (1996)",3.4565217391304346,0
Lone Star (1996),4.157894736842104,3
Harriet the Spy (1996),3.136363636363636,1
Phenomenon (1996),3.3369565217391304,3
Walking and Talking (1996),4.0,0
She's the One (1996),3.25,4
"Time to Kill, A (1996)",3.6571428571428566,3
American Buffalo (1996),1.5,2
Alaska (1996),3.5,2
Fled (1996),2.333333333333333,1
Kazaam (1996),2.25,1
Larger Than Life (1996),2.8,4
"Very Brady Sequel, A (1996)",3.25,4
"Collector, The (La collectionneuse) (1967)",3.5,3
Kaspar Hauser (1993),4.0,3
"Adventures of Pinocchio, The (1996)",3.333333333333333,2
Joe's Apartment (1996),2.6666666666666665,0
"First Wives Club, The (1996)",3.071428571428572,4
Ransom (1996),3.3378378378378377,1
High School High (1996),2.0,4
Foxfire (1996),3.6666666666666665,3
Chain Reaction (1996),2.8823529411764706,5
Matilda (1996),3.272727272727273,1
Emma (1996),3.9166666666666665,0
"Crow: City of Angels, The (1996)",2.833333333333333,1
House Arrest (1996),3.375,1
